event_name,timestamp,parameters
open_position,112,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 126195772760, ""user_index"": 0}"
open_position,112,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,113,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 51185063151, ""user_index"": 0}"
open_position,113,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,114,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 21104402457, ""user_index"": 0}"
open_position,114,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,115,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 7852884681, ""user_index"": 0}"
open_position,115,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,116,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2545222342, ""user_index"": 0}"
open_position,116,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,117,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 4971531318195, ""user_index"": 0}"
open_position,117,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,118,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1910627482409, ""user_index"": 0}"
open_position,118,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,119,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 753001185550, ""user_index"": 0}"
open_position,119,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,120,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 298564582194, ""user_index"": 0}"
open_position,120,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,121,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 119628948605, ""user_index"": 0}"
open_position,121,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,122,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 554643271364, ""user_index"": 0}"
open_position,122,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,123,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 220097584530, ""user_index"": 0}"
open_position,123,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,124,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 88399823033, ""user_index"": 0}"
open_position,124,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,125,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 35898797150, ""user_index"": 0}"
